decoder,noise_name,shots,fails,Code,QPU,Basis,X Distance,Z Distance,Num Rounds,Physical Error
MWPM,SampleStimNoise,10000000,1,rotated_planar_code,basic_qpu,X,3,3,3,1e-05
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,5,5,5,1e-05
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,7,7,7,1e-05
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,9,9,9,1e-05
MWPM,SampleStimNoise,10000000,15,rotated_planar_code,basic_qpu,X,3,3,3,1.778279410038923e-05
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,5,5,5,1.778279410038923e-05
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,7,7,7,1.778279410038923e-05
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,9,9,9,1.778279410038923e-05
MWPM,SampleStimNoise,10000000,35,rotated_planar_code,basic_qpu,X,3,3,3,3.1622776601683795e-05
MWPM,SampleStimNoise,10000000,1,rotated_planar_code,basic_qpu,X,5,5,5,3.1622776601683795e-05
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,7,7,7,3.1622776601683795e-05
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,9,9,9,3.1622776601683795e-05
MWPM,SampleStimNoise,10000000,87,rotated_planar_code,basic_qpu,X,3,3,3,5.623413251903491e-05
MWPM,SampleStimNoise,10000000,2,rotated_planar_code,basic_qpu,X,5,5,5,5.623413251903491e-05
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,7,7,7,5.623413251903491e-05
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,9,9,9,5.623413251903491e-05
MWPM,SampleStimNoise,10000000,258,rotated_planar_code,basic_qpu,X,3,3,3,0.0001
MWPM,SampleStimNoise,10000000,12,rotated_planar_code,basic_qpu,X,5,5,5,0.0001
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,7,7,7,0.0001
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,9,9,9,0.0001
MWPM,SampleStimNoise,10000000,860,rotated_planar_code,basic_qpu,X,3,3,3,0.00017782794100389227
MWPM,SampleStimNoise,10000000,53,rotated_planar_code,basic_qpu,X,5,5,5,0.00017782794100389227
MWPM,SampleStimNoise,10000000,1,rotated_planar_code,basic_qpu,X,7,7,7,0.00017782794100389227
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,9,9,9,0.00017782794100389227
MWPM,SampleStimNoise,10000000,2800,rotated_planar_code,basic_qpu,X,3,3,3,0.00031622776601683794
MWPM,SampleStimNoise,10000000,311,rotated_planar_code,basic_qpu,X,5,5,5,0.00031622776601683794
MWPM,SampleStimNoise,10000000,23,rotated_planar_code,basic_qpu,X,7,7,7,0.00031622776601683794
MWPM,SampleStimNoise,10000000,0,rotated_planar_code,basic_qpu,X,9,9,9,0.00031622776601683794
MWPM,SampleStimNoise,3162277,2696,rotated_planar_code,basic_qpu,X,3,3,3,0.0005623413251903491
MWPM,SampleStimNoise,3162277,562,rotated_planar_code,basic_qpu,X,5,5,5,0.0005623413251903491
MWPM,SampleStimNoise,3162277,78,rotated_planar_code,basic_qpu,X,7,7,7,0.0005623413251903491
MWPM,SampleStimNoise,3162277,6,rotated_planar_code,basic_qpu,X,9,9,9,0.0005623413251903491
MWPM,SampleStimNoise,1000000,2821,rotated_planar_code,basic_qpu,X,3,3,3,0.001
MWPM,SampleStimNoise,1000000,943,rotated_planar_code,basic_qpu,X,5,5,5,0.001
MWPM,SampleStimNoise,1000000,224,rotated_planar_code,basic_qpu,X,7,7,7,0.001
MWPM,SampleStimNoise,1000000,36,rotated_planar_code,basic_qpu,X,9,9,9,0.001
MWPM,SampleStimNoise,316227,2569,rotated_planar_code,basic_qpu,X,3,3,3,0.0017782794100389228
MWPM,SampleStimNoise,316227,1561,rotated_planar_code,basic_qpu,X,5,5,5,0.0017782794100389228
MWPM,SampleStimNoise,316227,661,rotated_planar_code,basic_qpu,X,7,7,7,0.0017782794100389228
MWPM,SampleStimNoise,316227,272,rotated_planar_code,basic_qpu,X,9,9,9,0.0017782794100389228
MWPM,SampleStimNoise,100000,2309,rotated_planar_code,basic_qpu,X,3,3,3,0.0031622776601683794
MWPM,SampleStimNoise,100000,2403,rotated_planar_code,basic_qpu,X,5,5,5,0.0031622776601683794
MWPM,SampleStimNoise,100000,1793,rotated_planar_code,basic_qpu,X,7,7,7,0.0031622776601683794
MWPM,SampleStimNoise,100000,1294,rotated_planar_code,basic_qpu,X,9,9,9,0.0031622776601683794
MWPM,SampleStimNoise,31622,1989,rotated_planar_code,basic_qpu,X,3,3,3,0.005623413251903491
MWPM,SampleStimNoise,31622,2977,rotated_planar_code,basic_qpu,X,5,5,5,0.005623413251903491
MWPM,SampleStimNoise,31622,3396,rotated_planar_code,basic_qpu,X,7,7,7,0.005623413251903491
MWPM,SampleStimNoise,31622,3965,rotated_planar_code,basic_qpu,X,9,9,9,0.005623413251903491
MWPM,SampleStimNoise,10000,1595,rotated_planar_code,basic_qpu,X,3,3,3,0.01
MWPM,SampleStimNoise,10000,2782,rotated_planar_code,basic_qpu,X,5,5,5,0.01
MWPM,SampleStimNoise,10000,3614,rotated_planar_code,basic_qpu,X,7,7,7,0.01
MWPM,SampleStimNoise,10000,4396,rotated_planar_code,basic_qpu,X,9,9,9,0.01
MWPM,SampleStimNoise,3162,1039,rotated_planar_code,basic_qpu,X,3,3,3,0.01778279410038923
MWPM,SampleStimNoise,3162,1443,rotated_planar_code,basic_qpu,X,5,5,5,0.01778279410038923
MWPM,SampleStimNoise,3162,1594,rotated_planar_code,basic_qpu,X,7,7,7,0.01778279410038923
MWPM,SampleStimNoise,3162,1595,rotated_planar_code,basic_qpu,X,9,9,9,0.01778279410038923
